answer,correct_option,id,options,problem,type
-68.7 Pa/h,C,MCQ_13_1,"['188.0 Pa/h', '-240.7 Pa/h', '-68.7 Pa/h', '-129.5 Pa/h']",A ship is heading north at a speed of 10 km/h. The surface pressure rises to the northwest at a rate of 5 Pa/km. Determine the pressure tendency observed at a nearby island station if the pressure on the ship decreases at a rate of 33.333333333333336 Pa/h.,Atmospheric Dynamics
-2.055 °C/h,C,MCQ_14_1,"['-11.44 °C/h', '-1.027 °C/h', '-2.055 °C/h', '-4.109 °C/h']","At a location 50000.0 km north of a station, the temperature is 3.0 °C less than at the station. Given that the wind direction is from the northeast at a speed of 20.0 m/s and the air is warming due to radiation at a rate of 1.0 °C/h, what is the change in temperature at the station?",Atmospheric Dynamics
-1.02 m/km,B,MCQ_15_1,"['0.58 m/km', '-1.02 m/km', '2.04 m/km', '-1.17 m/km']","An airplane traveling on a heading of 60° (meaning 60° east of north) with an airspeed of 200 m/s is moving relative to the ground directly east (90°) at 225 m/s. Given that the plane maintains constant pressure, what is the rate at which its altitude changes (in meters per kilometer of horizontal travel) under the assumption of a steady pressure field, geostrophic winds, and f=0.0001 s^-1?",Atmospheric Dynamics
941.3 hPa,C,MCQ_16_1,"['1772.1 hPa', '94.1 hPa', '941.3 hPa', '734.5 hPa']","A tornado spins with a constant angular velocity \omega. Demonstrate that the surface pressure at the tornado's center can be expressed as $p=p_{0} \exp \left(\frac{-\omega^{2} r_{0}^{2}}{2 R T} \right)$, where $p_{0}$ represents the surface pressure at a distance $r_{0}$ from the center, and T denotes the temperature (considered constant). Given that the temperature is 288 K, and the pressure and wind speed at 100 m from the center are 1000 hPa and 100 $\mathrm{~m} \mathrm{~s}^{-1}$, respectively, determine the central pressure.",Atmospheric Dynamics
"mean_relative_vorticity: -2e-05 s^-1,
circulation: -20000000.0 m^2/s",A,MCQ_17_1,"['mean_relative_vorticity: -2e-05 s^-1,\ncirculation: -20000000.0 m^2/s', 'mean_relative_vorticity: -2e-05 s^-1,\ncirculation: -37538000.0 m^2/s', 'mean_relative_vorticity: -4e-05 s^-1,\ncirculation: -10000000.0 m^2/s', 'mean_relative_vorticity: -1e-05 s^-1,\ncirculation: -2500000.0 m^2/s']","Determine the circulation around a square with sides measuring 1000 km for a wind flowing eastward (westward direction) that diminishes in strength moving northward at a rate of 10 m/s per 500 km. Additionally, calculate the average relative vorticity within the square.",Atmospheric Dynamics
-5.5 m/s,B,MCQ_18_1,"['-20.5 m/s', '-5.5 m/s', '-2.8 m/s', '-4.3 m/s']","Consider a cylindrical column of air located at 30°N with an initial radius of 100 km, which expands to 2 times its original radius. Assuming the air starts from rest, determine the average tangential velocity at the boundary following the expansion.",Atmospheric Dynamics
-2.3e-05 s^-1,C,MCQ_19_1,"['89.999927 s^-1', '0.000226 s^-1', '-2.3e-05 s^-1', '7e-05 s^-1']","An air parcel originating at 30.0°N travels north, maintaining absolute vorticity. Given its starting relative vorticity as 5e-05 s^-1, what will be its relative vorticity when it arrives at 90.0°N?",Atmospheric Dynamics
"absolute_vorticity: 9.473e-05 s^-1,
relative_vorticity: -8.4e-06 s^-1",B,MCQ_20_1,"['absolute_vorticity: 9.473e-05 s^-1,\nrelative_vorticity: -4.001e-05 s^-1', 'absolute_vorticity: 9.473e-05 s^-1,\nrelative_vorticity: -8.4e-06 s^-1', 'absolute_vorticity: 0.0 s^-1,\nrelative_vorticity: -0.0001263 s^-1', 'absolute_vorticity: 0.00011548 s^-1,\nrelative_vorticity: 2.14e-06 s^-1']","An air column located at 60°N with an initial relative vorticity of ζ=0 extends from the surface up to a fixed tropopause at a height of 10.0 km. If this air column travels to a position above a mountain barrier that is 2.5 km high at 45°N, what will its absolute vorticity and relative vorticity be as it crosses over the mountaintop, given that the flow adheres to the barotropic potential vorticity equation?",Atmospheric Dynamics
"vorticity_annulus: 0.0 s^-1,
vorticity_inner_circle: 5e-05 s^-1",B,MCQ_21_1,"['vorticity_annulus: 0.0 s^-1,\nvorticity_inner_circle: 0.000343 s^-1', 'vorticity_annulus: 0.0 s^-1,\nvorticity_inner_circle: 5e-05 s^-1', 'vorticity_annulus: 0.0 s^-1,\nvorticity_inner_circle: 0.0 s^-1', 'vorticity_annulus: 0.0 s^-1,\nvorticity_inner_circle: 3.3e-05 s^-1']","Determine the mean vorticity inside a cylindrical annulus with an inner radius of 200 km and an outer radius of 400 km, given that the tangential velocity is described by $V=A / r$, where $A=1000000.0 \mathrm{~m}^{2} \mathrm{~s}^{-1}$ and $r$ is measured in meters. What is the mean vorticity within the inner circle having a radius of 200 km?",Atmospheric Dynamics
-7.2 m^2/s^2,A,MCQ_22_1,"['-7.2 m^2/s^2', '-17.8 m^2/s^2', '-0.0 m^2/s^2', '-16.1 m^2/s^2']","Determine the rate at which circulation changes around a square located in the (x, y) plane, with vertices at (0,0), (0, L), (L, L), and (L, 0), given that the temperature rises eastward at a rate of 1 °C per 200 km and the pressure rises northward at a rate of 1 hPa per 200 km. Assume L=1000 km and that the pressure at (0,0) is 1000 hPa.",Atmospheric Dynamics
344.0 K,B,MCQ_23_1,"['688.0 K', '344.0 K', '330.0 K', '516.0 K']","Determine the equivalent potential temperature, {θ_e}, for an air parcel that is saturated, with a pressure of 920 hPa, a temperature of 293.15 K, and a mixing ratio of 0.016 kg/kg.",Atmospheric Dynamics
8.3 mm/day,B,MCQ_24_1,"['6.4 mm/day', '8.3 mm/day', '5.9 mm/day', '0.0 mm/day']","Assume the relative vorticity at the top of an Ekman layer at 15°N is 2e-05 s^-1. Given that the eddy viscosity coefficient is 10 m^2/s and the water vapor mixing ratio at the top of the Ekman layer is 12 g/kg, calculate the precipitation rate resulting from moisture convergence within the Ekman layer.",Atmospheric Dynamics
271.5 K,A,MCQ_25_1,"['271.5 K', '137.6 K', '221.2 K', '543.1 K']","Currently, the Earth's emission temperature is 255.0 K, with an albedo of 30.0%. 
What change in the emission temperature would occur if the albedo decreased to 10.0% while keeping all other factors constant?

The emission temperature is given by:

T_e = [(1 - alpha_p) * S / (4 * sigma)]^(1/4)

where alpha_p represents the planetary albedo, $S$ is the solar flux, and $\sigma$ is the Stefan-Boltzmann constant.",Geophysics
303.1 K,B,MCQ_26_1,"['304.2 K', '303.1 K', '606.2 K', '285.4 K']","Assume that Earth is actually flat. Imagine it as a thin circular disk with a radius of 6370 km, orbiting the Sun at the same distance as Earth. The planetary albedo is 0.3. The vector normal to one face of this disk consistently points directly at the Sun, and the disk is composed of a perfectly conducting material, ensuring that both faces maintain the same temperature. Determine the emission temperature of this disk and compare it with the result previously determined for a spherical Earth.",Geophysics
"(a): 102.3 K,
(b): 6.0560587e+17 W,
(c): 0.0144 m/yr",A,MCQ_27_1,"['(a): 102.3 K,\n(b): 6.0560587e+17 W,\n(c): 0.0144 m/yr', '(a): 409.3 K,\n(b): 2.42242347e+18 W,\n(c): 0.0577 m/yr', '(a): 307.0 K,\n(b): 1.8168176e+18 W,\n(c): 0.0433 m/yr', '(a): 204.7 K,\n(b): 1.21121173e+18 W,\n(c): 0.0289 m/yr']","3. Examine the thermal equilibrium of Jupiter. The following details about Jupiter are necessary: mean planetary radius = 69500 km; mean orbital radius around the Sun = 5.19 A.U. (where 1 A.U. represents the mean radius of Earth's orbit); planetary albedo = 0.51.

(a) Calculate the emission temperature for Jupiter by assuming a balance between incoming and outgoing radiation.

(b) Jupiter actually has an internal heat source due to ongoing planetary contraction. Given the standard definition of emission temperature T_e, where σ T_e^4 equals the outgoing flux of planetary radiation per unit surface area, the observed emission temperature of Jupiter is 130 K. Determine the size of Jupiter's internal heat source.

(c) It is postulated that the source of Q on Jupiter is the release of gravitational potential energy due to a gradual contraction of the planet. Assuming Jupiter has a uniform density and maintains this as it contracts, calculate the yearly change in its radius a_Jupiter necessary to generate your computed value of Q. (Only half of the released gravitational energy can be converted to heat, with the rest contributing to the additional kinetic energy needed to maintain the planet's angular momentum.)",Geophysics
227.4 K,D,MCQ_28_1,"['719.1 K', '454.8 K', '210.3 K', '227.4 K']","Calculate the emission temperature for the planet Venus. Assume that: the average orbital radius of Venus is 0.72 times that of Earth's orbit. Considering the solar flux diminishes with the square of the distance from the sun and that the planetary albedo of Venus is 0.77, find the emission temperature of Venus.",Geophysics
"mass_of_column: 10194.0 kg,
total_mass_of_atmosphere: 5.197801873412748e+18 kg",A,MCQ_29_1,"['mass_of_column: 10194.0 kg,\ntotal_mass_of_atmosphere: 5.197801873412748e+18 kg', 'mass_of_column: 5097.0 kg,\ntotal_mass_of_atmosphere: 5.197801873412748e+18 kg', 'mass_of_column: 71356.0 kg,\ntotal_mass_of_atmosphere: 5.197801873412748e+18 kg', 'mass_of_column: 20387.0 kg,\ntotal_mass_of_atmosphere: 1.0395603746825497e+19 kg']","Utilize the hydrostatic equation to demonstrate that the mass of an air column with a unit cross-section, stretching from the ground to a significant altitude, is $rac{p_{s}}{g}$, where ${p_{s}}$ represents the surface pressure. Input the necessary numbers to calculate the mass for a column of air covering an area of 1 m^2. Use your result to approximate the total mass of the atmosphere.",Atmospheric Physics
62489700000.0 Pa,D,MCQ_30_1,"['62489700.0 Pa', '60064400000.0 Pa', '124979400000.0 Pa', '62489700000.0 Pa']","Employing the hydrostatic equation, develop a formula for the pressure at the core of a planet in terms of its surface gravity, radius 6370000.0, and constant density 2000. Substitute values relevant to Earth and compute the central pressure. 
[Hint: the gravitational acceleration at radius 6370000.0 is given by g(r) = G * m(r) / r^2, where m(r) represents the mass within radius r, and G = 6.67 * 10^-11 kg^-1 m^3 s^-2 is the gravitational constant. Assume the rock density is 2000 kg m^-3.]",Atmospheric Physics
"(a): altitude: 5.34 km,
pressure: 50000.0 Pa,
density: 0.662 kg/m^3,
(b): altitude: 17.73 km,
pressure: 10000.0 Pa,
density: 0.132 kg/m^3",C,MCQ_31_1,"['(a): altitude: 5.85 km,\npressure: 50000.0 Pa,\ndensity: 0.605 kg/m^3,\n(b): altitude: 4.89 km,\npressure: 56000.0 Pa,\ndensity: 0.678 kg/m^3', '(a): altitude: 16.02 km,\npressure: 150000.0 Pa,\ndensity: 1.987 kg/m^3,\n(b): altitude: 53.2 km,\npressure: 30000.0 Pa,\ndensity: 0.397 kg/m^3', '(a): altitude: 5.34 km,\npressure: 50000.0 Pa,\ndensity: 0.662 kg/m^3,\n(b): altitude: 17.73 km,\npressure: 10000.0 Pa,\ndensity: 0.132 kg/m^3', '(a): altitude: 10.68 km,\npressure: 100000.0 Pa,\ndensity: 1.325 kg/m^3,\n(b): altitude: 35.47 km,\npressure: 20000.0 Pa,\ndensity: 0.265 kg/m^3']","Examine a horizontally uniform atmosphere that is in hydrostatic equilibrium. The atmosphere is isothermal with a temperature of 263 K and a surface pressure of 100000 Pa.

(a) Determine the altitude, pressure, density, and potential temperature at the level that divides the atmosphere into two equal mass parts, meaning half of the atmospheric mass is above this level.

(b) Perform the same calculation as in part (a) for the level where 90% of the atmospheric mass is below.",Atmospheric Physics
"5: 333.0 K,
10: 397.0 K,
20: 562.0 K,
10-5: 333.0 K",C,MCQ_32_1,"['13: 428.0 K,\n17: 496.0 K,\n23: 619.0 K,\n17-13: 307.0 K', '5: 667.0 K,\n10: 794.0 K,\n20: 1125.0 K,\n10-5: 667.0 K', '5: 333.0 K,\n10: 397.0 K,\n20: 562.0 K,\n10-5: 333.0 K', '7.5: 364.0 K,\n15.0: 472.0 K,\n30.0: 797.0 K,\n15.0-7.5: 364.0 K']","Consider an isothermal atmosphere with a temperature of 280 K. Calculate the potential temperature at elevations of 5 km, 10 km, and 20 km above the ground. If an air parcel is relocated adiabatically from 10 km to 5 km, what temperature would it have upon reaching its destination?",Atmospheric Physics
"(i): 13.8 ,
(ii): 5421.0 m",C,MCQ_34_1,"['(i): 10.7 ,\n(ii): 30.0 m', '(i): 22.6 ,\n(ii): 5035.0 m', '(i): 13.8 ,\n(ii): 5421.0 m', '(i): 4.6 ,\n(ii): 16441.0 m']","(i) Consider a standard hurricane located at 30 latitude with low-level winds measured at 50 at a distance of 50 km from its center: would you anticipate this flow to be geostrophic?  
(ii) Imagine two weather stations situated near 45, separated by 400 km, with one directly northeast of the other. At both stations, the 500 hPa wind blows precisely from the south at 30. If the 500 hPa surface height at the northeastern station is 5510 m, determine the height of this surface at the other station.",Atmospheric Dynamics
"(a): -14.0 m/s,
(b): 0.0 m/s,
(c): 42.8 m/s",A,MCQ_35_1,"['(a): -14.0 m/s,\n(b): 0.0 m/s,\n(c): 42.8 m/s', '(a): -14.0 m/s,\n(b): -14.0 m/s,\n(c): 42.8 m/s', '(a): -31.0 m/s,\n(b): -17.3 m/s,\n(c): 13.9 m/s', '(a): -41.9 m/s,\n(b): 0.0 m/s,\n(c): 128.4 m/s']","Examine the tropical Hadley circulation during the northern winter. This circulation ascends at 10°S, traverses northward over the equator within the upper troposphere, and descends at 20°N. Given that the circulation is zonally symmetric (independent of x) and inviscid outside the near-surface boundary layer (hence conserving absolute angular momentum relative to the Earth's rotation axis), and departs the boundary layer at 10°S with a zonal velocity of u=0 m/s, determine the zonal wind in the upper troposphere at (a) the equator, (b) 10°N, and (c) 20°N.",Atmospheric Physics
"(a): pressure_at_1000m: 99.1 p_s,
pressure_at_5000m: 491.5 p_s,
(b): heat_capacity_atmosphere: 10200000.0 JK/(m^2),
equivalent_ocean_depth: 2.44 m",C,MCQ_36_1,"['(a): pressure_at_1435m: 141.8 p_s,\npressure_at_4908m: 482.5 p_s,\n(b): heat_capacity_atmosphere: 10200000.0 JK/(m^2),\nequivalent_ocean_depth: 2.44 m', '(a): pressure_at_100.0m: 10.8 p_s,\npressure_at_500.0m: 50.0 p_s,\n(b): heat_capacity_atmosphere: 10200000.0 JK/(m^2),\nequivalent_ocean_depth: 2.44 m', '(a): pressure_at_5000m: 491.5 p_s,\npressure_at_1000m: 99.1 p_s,\n(b): heat_capacity_atmosphere: 10200000.0 JK/(m^2),\nequivalent_ocean_depth: 2.44 m', '(a): pressure_at_1000m: 99.1 p_s,\npressure_at_5000m: 491.5 p_s,\n(b): heat_capacity_atmosphere: 10200000.0 JK/(m^2),\nequivalent_ocean_depth: 2.44 m']","Imagine an ocean with a uniform density of 1000 kg/m^3.

(a) Using the hydrostatic relationship, calculate the pressure at a depth of 1000 m and at 5000 m. Provide your answer in terms of atmospheric surface pressure, where {p_s} mbar is equivalent to 100000.0 Pa.

(b) If the heat content of an infinitesimal mass dm of dry air at temperature T is given by $c_{p} * T * dm (where $c_{p} is the specific heat of air at constant pressure), derive a formula for, and compute, the (vertically integrated) heat capacity (heat content per degree Kelvin) of the atmosphere per unit horizontal area. Determine the depth an ocean would need to be to possess the same heat capacity per unit horizontal area.",Physical Oceanography
0.5 yr,D,MCQ_37_1,"['1.3 yr', '0.1 yr', '0.0 yr', '0.5 yr']","Consider that the mixing within the mixed layer keeps the temperature uniform throughout its depth. Given a heat flux of 25.0 W/m^2 applied on the ocean surface, calculate the time required for the mixed layer's temperature to increase by 1.0°C, assuming a typical mixed layer depth. [Utilize the water density of 1000.0 kg/m^3 and the specific heat capacity of water as 4187.0 J/(kg·K).]",Physical Oceanography
"pressure_at_depth: 200406.0 Pa,
latitudinal_pressure_gradient: -0.0017675676 Pa/m,
geostrophic_flow: 0.0172 m/s",C,MCQ_38_1,"['pressure_at_depth: 601218.0 Pa,\nlatitudinal_pressure_gradient: -0.0053027027 Pa/m,\ngeostrophic_flow: 0.0515 m/s', 'pressure_at_depth: 101325.0 Pa,\nlatitudinal_pressure_gradient: -9.104e-07 Pa/m,\ngeostrophic_flow: 0.0884 m/s', 'pressure_at_depth: 200406.0 Pa,\nlatitudinal_pressure_gradient: -0.0017675676 Pa/m,\ngeostrophic_flow: 0.0172 m/s', 'pressure_at_depth: 920436.0 Pa,\nlatitudinal_pressure_gradient: -0.0144069129 Pa/m,\ngeostrophic_flow: 0.1228 m/s']","Imagine an ocean with a constant density of 1000 kg/m^3. The ocean's surface, which is flat along the longitudinal axis, has a linear slope with latitude, ranging from h=0.1 m above mean sea level (MSL) at 40° N to h=0.1 m below MSL at 50° N. Utilize the hydrostatic balance to calculate the pressure at a depth of 10 m below MSL. Subsequently, demonstrate that both the latitudinal pressure gradient ∂p/∂y and the geostrophic flow are independent of depth. Calculate the geostrophic flow's magnitude and direction at 45° N.",Physical Oceanography
-1.458 cm,C,MCQ_39_1,"['3.842 cm', '-0.862 cm', '-1.458 cm', '-4.375 cm']","When a baseball player throws a ball covering a horizontal distance of 100.0 m at a latitude of 30.0° within 4.0 s, what is the lateral deflection caused by Earth's rotation?",Atmospheric Dynamics
7.8 m,D,MCQ_40_1,"['15.5 m', '2.2 m', '23.3 m', '7.8 m']","Determine the horizontal movement of an object released from a stationary platform at a height of 5000 at the equator, ignoring air resistance effects. What is the calculated displacement for 5000m?",Atmospheric Dynamics
"5536.1 m,
5069.7 m",B,MCQ_41_1,"['-5069.7 m,\n-5536.1 m', '5536.1 m,\n5069.7 m', '4203.4 m,\n4061.0 m', '13161.7 m,\n8035.2 m']","Determine the 1000.0-500.0 hPa thickness under isothermal conditions with temperatures of 273.0 K and 250.0 K, respectively.",Atmospheric Physics
2.96 °C,B,MCQ_42_1,"['-6.07 °C', '2.96 °C', '5.91 °C', '1.26 °C']","On a weather map, isolines of 1000.0-500.0 hPa thickness are depicted with a contour interval of 60.0 m. What is the equivalent interval for the layer mean temperature?",Atmospheric Physics
8.806 km,D,MCQ_45_1,"['0.131 km', '0.881 km', '9.202 km', '8.806 km']","Formulate an expression that describes how the pressure change δp varies with altitude when an atmosphere with a constant lapse rate experiences a temperature change δT that is uniform with height, while the surface pressure stays unchanged. Determine the altitude at which the pressure change reaches its maximum magnitude, given the lapse rate is 6.5 K/km, T0=300, and δT=2 K.",Geophysics
0.0102 m/s,B,MCQ_46_1,"['0.0306 m/s', '0.0102 m/s', '0.0204 m/s', '0.0592 m/s']","Assume a 1-kg parcel of dry air is ascending with a steady vertical speed. Given that the parcel receives radiative heating at a rate of 0.1 W kg^-1, what should the rate of ascent be in order for the parcel's temperature to remain unchanged?",Atmospheric Physics
0.725 kg/m^3,D,MCQ_47_1,"['0.055 kg/m^3', '2.174 kg/m^3', '0.688 kg/m^3', '0.725 kg/m^3']",A parcel of air with a temperature of 20°C at the 1000 hPa level is raised dry adiabatically. Determine its density upon reaching the 500 hPa level.,Atmospheric Dynamics
"134.4 J/kg,
16.39 m/s",C,MCQ_48_1,"['439886.8 J/kg,\n937.96 m/s', '268.8 J/kg,\n23.19 m/s', '134.4 J/kg,\n16.39 m/s', '156.6 J/kg,\n17.7 m/s']","Consider an air parcel beginning from rest at the 800 hPa level and ascending vertically to 500 hPa, maintaining a constant temperature excess of 1°C above the environment. Given that the average temperature of the 800-500 hPa layer is 260 K, calculate the energy released due to the buoyancy force's work. If all the released energy converts to the parcel's kinetic energy, what will be its vertical velocity at 500 hPa?",Atmospheric Dynamics
287.0 s,D,MCQ_49_1,"['574.0 s', '291.0 s', '91.0 s', '287.0 s']","French researchers have designed a high-altitude balloon that maintains a nearly constant potential temperature while orbiting Earth. Suppose this balloon is situated in the lower equatorial stratosphere where the temperature is stable at 200 K. If the balloon is vertically displaced from its equilibrium position by a small distance $\delta_z$, it would oscillate around the equilibrium point. What is the period of this oscillation?",Atmospheric Dynamics
