model,overall_accuracy,standard_deviation,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
huggingface-climategpt-70b-4000,0.27313432835820894,0.04452666832888447,0.25405405405405407,0.2857142857142857,0.4,0.24,0.225
google-gemini-2.0-flash-thinking-exp-12-19-30000,0.8194029850746268,0.03479031589462107,0.7675675675675676,0.9142857142857143,0.9,0.92,0.7
openai-o3-mini-4000,0.6492537313432836,0.03535490150137289,0.5675675675675675,0.8214285714285714,0.6857142857142857,0.84,0.5
openai-gpt4o-mini-8000,0.45671641791044776,0.0508339891520191,0.42162162162162165,0.5857142857142857,0.4,0.48,0.4
huggingface-Qwen2.5-7B-Instruct-8000,0.4343283582089552,0.048974028665969005,0.3810810810810811,0.5071428571428571,0.5142857142857142,0.6,0.325
huggingface-Qwen2.5-Math-1.5B-Instruct-8000,0.3,0.029391155199486433,0.2918918918918919,0.2357142857142857,0.34285714285714286,0.48,0.3
google-gemini-2.0-flash-thinking-exp-12-19-8000,0.7208955223880597,0.037922067662008965,0.6702702702702703,0.8142857142857143,0.7571428571428571,0.88,0.6
together-DeepSeek-R1-Distill-Llama-70B-8000,0.6746268656716418,0.03573788058918998,0.6189189189189189,0.7928571428571428,0.7571428571428571,0.8,0.475
google-gemini-2.0-flash-exp-8000,0.6417910447761194,0.03853714772345689,0.581081081081081,0.6714285714285714,0.7714285714285715,0.9,0.55
huggingface-deepseek-math-7b-instruct-8000,0.30895522388059704,0.04165459838593926,0.28378378378378377,0.3357142857142857,0.3,0.36,0.4
huggingface-Qwen2.5-72B-GeoGPT-8000,0.3492537313432836,0.027430942790229312,0.3,0.40714285714285714,0.37142857142857144,0.6,0.25
huggingface-Qwen2.5-Math-7B-Instruct-8000,0.34776119402985073,0.058465649932030204,0.3081081081081081,0.39285714285714285,0.35714285714285715,0.54,0.3
deepseek-r1-8000,0.8850746268656716,0.02989217688716379,0.8567567567567568,0.9357142857142857,0.9571428571428572,0.98,0.725
huggingface-Qwen2.5-Math-72B-Instruct-8000,0.5835820895522388,0.06310764366338938,0.5405405405405406,0.7214285714285714,0.6285714285714286,0.68,0.3
huggingface-deepseek-math-7b-rl-8000,0.2462686567164179,0.04518881125518645,0.22432432432432434,0.2857142857142857,0.24285714285714285,0.22,0.35
huggingface-Qwen2.5-3B-Instruct-8000,0.31492537313432833,0.07753855441077918,0.2810810810810811,0.34285714285714286,0.3,0.44,0.4
openai-gpto1-30000,0.8641791044776119,0.029391155199486426,0.827027027027027,0.9071428571428571,0.9285714285714286,1.0,0.775
huggingface-gemma-2-9b-it-8000,0.18507462686567164,0.0373631509562559,0.17297297297297298,0.21428571428571427,0.11428571428571428,0.28,0.2
deepseek-v3-4000,,,,,,,
huggingface-gemma-2-27b-it-8000,0.37910447761194027,0.04624457726814826,0.3108108108108108,0.4714285714285714,0.4142857142857143,0.56,0.4
huggingface-climategpt-7b-4000,0.20149253731343283,0.05182255387064591,0.1864864864864865,0.22857142857142856,0.11428571428571428,0.26,0.325
together-QwQ-32B-Preview-8000,0.6791044776119403,0.050369295351533803,0.6,0.8714285714285714,0.7428571428571429,0.84,0.425
together-Qwen3-235B-A22B-fp8-tput-30000,0.8820895522388059,0.03752840231969377,0.8648648648648649,0.9357142857142857,0.9,0.98,0.7
together-Llama-3.1-405B-Instruct-Turbo-8000,0.5432835820895522,0.05810468187325943,0.4810810810810811,0.6428571428571429,0.5714285714285714,0.7,0.525
openai-o3-mini-16000,0.8522388059701492,0.017868940294594998,0.8432432432432433,0.8857142857142857,0.8142857142857143,0.96,0.75
together-QwQ-32B-Preview-16000,0.7119402985074627,0.03792206766200897,0.6432432432432432,0.8714285714285714,0.7857142857142857,0.82,0.525
