answer,correct_option,id,options,problem,type
"(a): dQ/dt = R_n - G - H - E_l ,
(b): E_l = R_n / (1 + B) ,
(c): 9.7 mm/day,
(d): 290.94 mm",A,MCQ_96_1,"['(a): dQ/dt = R_n - G - H - E_l ,\n(b): E_l = R_n / (1 + B) ,\n(c): 9.7 mm/day,\n(d): 290.94 mm', '(a): dQ/dt = R_n - G - H - E_l ,\n(b): E_l = R_n / (1 + B) ,\n(c): 8.31 mm/day,\n(d): 232.7 mm', '(a): dQ/dt = R_n - G - H - E_l ,\n(b): E_l = R_n / (1 + B) ,\n(c): 29.09 mm/day,\n(d): 2618.45 mm', '(a): dQ/dt = R_n - G - H - E_l ,\n(b): E_l = R_n / (1 + B) ,\n(c): 2131078.22 mm/day,\n(d): 63932346.72 mm']","A small catchment with an 300 ha area in Iowa absorbs an average R_n = 330 W m^-2 in June. Use the energy balance method to estimate the catchment's evapotranspiration for June.

(a) Formulate a comprehensive energy balance equation, including all terms, for the catchment in June.

(b) By ignoring ground conduction (G) and assuming no change in stored energy (dQ/dt = 0), simplify the energy balance equation for the catchment to solve for the latent heat flux, E_l. Substitute H (the sensible heat flux) with B × E_l, where B is the Bowen ratio.

(c) Given a mean Bowen ratio of 0.2 for the catchment, determine the mean daily latent heat flux to the atmosphere (W m^-2) and the mean evapotranspiration rate (mm day^-1) from the catchment. Assume a water density, ρ_w = 1000.0 kg m^-3.

(d) Compute the total evapotranspiration from the catchment over the month of June (30 days).",Hydrology
1.8 °C,D,MCQ_97_1,"['1.3 °C', '0.02 °C', '5.6 °C', '1.8 °C']","A thermometer floating with the river's flow at 1.0 km/hr measures the surface temperature. The overall warming rate of the river water is 0.2 °C/hr, while the temperature rises by 0.1 °C per kilometer downstream. What is the temperature change (°C) recorded by the thermometer over 6 hours?",Hydrology
1.0 m/s,A,MCQ_98_1,"['1.0 m/s', '1.581 m/s', '2.0 m/s', '0.118 m/s']","The pressure decrease across a properly designed constriction can be utilized to determine the flow velocity in a pipe. Given that the pressure drop from a 0.1-m diameter section to a 0.05-m diameter section is 7500 Pa, what is the flow velocity (m/s) in the 0.1-m diameter section of the pipe? Hint: Apply the conservation of mass equation to connect the velocity at the smaller section with that at the larger section.",Hydrology
"discharge: 0.049 m^3/s,
is_laminar: True ",B,MCQ_99_1,"['discharge: 0.785 m^3/s,\nis_laminar: True ', 'discharge: 0.049 m^3/s,\nis_laminar: True ', 'discharge: 18180513041.608 m^3/s,\nis_laminar: False ', 'discharge: 33.648 m^3/s,\nis_laminar: True ']","Molten lava, characterized by a density of 2700.0 kg/m^3 and a viscosity of 1000.0 Pa·s, travels through a conduit with a circular cross-sectional shape. The conduit has a diameter of 1.0 m, and the lava flow is motivated by a pressure gradient of -2000.0 Pa/m. Given the assumption that the flow is laminar, determine the lava discharge in m^3/s. Is the laminar flow assumption appropriate?",Hydrology
"depth: 0.24 m,
mean_velocity: 0.28 m/s,
RH_close_to_h: True ",A,MCQ_100_1,"['depth: 0.24 m,\nmean_velocity: 0.28 m/s,\nRH_close_to_h: True ', 'depth: 0.24 m,\nmean_velocity: 0.18 m/s,\nRH_close_to_h: True ', 'depth: 0.06 m,\nmean_velocity: 207.27 m/s,\nRH_close_to_h: False ', 'depth: 0.18 m,\nmean_velocity: 0.37 m/s,\nRH_close_to_h: True ']","Utilize Equation 1 to calculate the depth and average velocity of a flow in a channel characterized by a slope S=0.003, width w=15.0 m, discharge Q=1.0 m³/s, and Manning's n=0.075. Is it reasonable to assume that RH ≈ h for this flow? 
$$
egin{equation*}
q_{w}=U h=rac{k}{n} h^{5 / 3} S^{1 / 2} . 	ag{Equation 1}
\end{equation*}
$$",Hydrology
"(a): diameter: 1.96 m,
feasible: False ,
(b): (i): 3.0 m,
(ii): 11.57 m,
(iii): 4 ",C,MCQ_101_1,"['(a): diameter: 0.0 m,\nfeasible: True ,\n(b): (i): 3.0 m,\n(ii): 0.0 m,\n(iii): 0 ', '(a): diameter: 1.13 m,\nfeasible: True ,\n(b): (i): 9.0 m,\n(ii): 1.29 m,\n(iii): 1 ', '(a): diameter: 1.96 m,\nfeasible: False ,\n(b): (i): 3.0 m,\n(ii): 11.57 m,\n(iii): 4 ', '(a): diameter: 3.65 m,\nfeasible: False ,\n(b): (i): 1.1 m,\n(ii): 187.52 m,\n(iii): 28 ']","You are tasked with designing a basic filtration system for a community's water supply using cylindrical sand columns (K=5.0 m/day). The filter must be 3.0 m in length to effectively capture particulates in the water. Since the system will operate via gravity, the pressure heads at the top and bottom of the vertically-oriented filter will be 0.0 m and 0.0 m, respectively.  
(a). What diameter is necessary for the filter to process 4000 gallons of water per day? Is this dimension feasible (anything exceeding about 1.0 m is not feasible)?  
(b). Evaluate each of the following alternatives and consider adjustments to your design:  
i. Extend the sand filter (to what length?)  
ii. Increase the hydraulic head at the inflow (by how much?)  
iii. Implement multiple filters (how many? what dimensions?)",Hydrology
9.61 days,D,MCQ_102_1,"['28.83 days', '43343.02 days', '67.24 days', '9.61 days']","In regions where irrigation is applied to boost agricultural output, maintaining soil water content above the permanent wilting point (e.g., θ ≥ 2 θw) during the growing season is essential. The root zone soil moisture should not surpass field capacity θfc during irrigation, as exceeding θfc results in drainage losses of water and fertilizer. Under this strategy, soil moisture stays below field capacity, with evapotranspiration being the sole loss from the root zone. Assuming the absence of rainfall, the temporal changes in average soil moisture θ in the root zone are described by the soil water balance equation:

Z * dθ/dt = -et,

where Z represents the depth of the root zone. This implies that variations in stored water within the control volume (i.e., the root zone) arise from the disparity between water inputs and outputs. In this scenario, there are no inputs from rainfall, and the only outflow is due to et. The irrigation period (i.e., the interval between successive irrigation applications) is determined by integrating the soil water balance equation from time t=0, when θ=θfc (immediately after irrigation), to time ti, when θ=θ0 (indicating it's time to irrigate again). This assumes the evapotranspiration rate decreases linearly from the potential rate PET at θ = θfc to zero at θ = θw (i.e., et = PET*(θ - θw)/(θfc - θw)):

Determine the irrigation period ti given:
Z=0.4 m, PET=6.0 mm/day, θfc=0.19, θw=0.05, and θ0=0.1.",Hydrology
"new_water_fraction: 0.125 ,
old_water_fraction: 0.875 ",C,MCQ_103_1,"['new_water_fraction: -7.0 ,\nold_water_fraction: 8.0 ', 'new_water_fraction: 0.1 ,\nold_water_fraction: 0.9 ', 'new_water_fraction: 0.125 ,\nold_water_fraction: 0.875 ', 'new_water_fraction: -1.375 ,\nold_water_fraction: 2.375 ']","A hydrologist analyzing runoff production within a catchment records these chloride concentrations at the height of a rainstorm: $C_n=4.5$ μmol/L, $C_o=40.5$ μmol/L, and $C_t=36.0$ μmol/L. Determine the proportions of total streamflow that are provided by new water and old water.",Hydrology
"TI1: 8.87 ,
TI2: 5.52 ,
likely_segment: 1 ",B,MCQ_104_1,"['TI1: 7.04 ,\nTI2: 3.69 ,\nlikely_segment: 1 ', 'TI1: 8.87 ,\nTI2: 5.52 ,\nlikely_segment: 1 ', 'TI1: -11.96 ,\nTI2: 8.87 ,\nlikely_segment: 2 ', 'TI1: 9.5 ,\nTI2: 5.4 ,\nlikely_segment: 1 ']","Consider two ""streamtube"" segments within a catchment area—essentially parts of a flow net defined by topography—with the following characteristics:

|  | Segment 1 | Segment 2 |
| :--- | :--- | :--- |
| Upslope area, A (m²) | 500.0 | 500.0 |
| Length of contour at the segment's base, c (m) | 3.5 | 25.0 |
| Slope at the segment's base, tanβ | 0.02 | 0.08 |

Determine the topographic index for each segment and specify which segment is more prone to generating saturation-excess overland flow.",Hydrology
7.492 m^3/s,C,MCQ_81_2,"['0.007 m^3/s', '65.677 m^3/s', '7.492 m^3/s', '18.036 m^3/s']","Consider a rectangular open channel with a width of 4.4 meters that transports water at a depth of 1.1 meters. Given that the channel slope is 0.0087 and Manning's roughness coefficient is 0.049, determine the flow rate Q in cubic meters per second. Employ the SI units and use the hydraulic radius R=0.7333333333333334 m.",Hydrology
"(a): Upstream: 4.97 m,
over the hump: 4.902 m,
(b): Upstream: 4.97 m,
over the hump: 4.933 m",B,MCQ_82_2,"['(a): Upstream: 47.14 m,\nover the hump: 47.093 m,\n(b): Upstream: 5.11 m,\nover the hump: 5.063 m', '(a): Upstream: 4.97 m,\nover the hump: 4.902 m,\n(b): Upstream: 4.97 m,\nover the hump: 4.933 m', '(a): Upstream: 1.106 m,\nover the hump: 0.894 m,\n(b): Upstream: 0.495 m,\nover the hump: 0.784 m', '(a): Upstream: 4.97 m,\nover the hump: 4.902 m,\n(b): Upstream: 4.97 m,\nover the hump: 4.908 m']",A rectangular channel with a width of 5.6 m conveys a flow rate of 47.0 m³/s at a depth of 4.97 m. There is a plan to build a hump at a certain section. Calculate the water surface levels both upstream from the hump and directly over the hump if the hump's height is a) 0.8 m and b) 0.5 m (assuming no energy loss at the hump).,Hydrology
6.1e-05 ,D,MCQ_83_2,"['2e-06 ', '0.000584 ', '0.000123 ', '6.1e-05 ']",Calculate the proportion of centrifugal acceleration to gravitational acceleration at a latitude of 75.7° on Pluto.,Geophysics
"y2: 1.6979 m,
delta_z_critical: 0.1081 m",B,MCQ_84_2,"['y2: -2.9258 m,\ndelta_z_critical: 0.0504 m', 'y2: 1.6979 m,\ndelta_z_critical: 0.1081 m', 'y2: 4.7119 m,\ndelta_z_critical: 2.4701 m', 'y2: 2.7538 m,\ndelta_z_critical: 0.3676 m']","Water flowing in a broad channel encounters a hump 0.15 m tall, with an initial velocity of 3.3 m/sec and a depth of 2.1 m. Calculate 
a) The water depth y2 above the hump and 
b) The height of the hump that would make the crest flow critical.",Hydrology
1.6 m,D,MCQ_85_2,"['5.754 m', '207360000000.0 m', '4.8 m', '1.6 m']","A smooth laminar boundary layer begins to form at the sharp leading edge of a propeller blade that is moving at 39.6 m/s relative to the hydrogen. Considering that the critical Reynolds number for flat plate turbulence is 576000 based on the distance, x, from the leading edge, where should we expect the transition to turbulence to occur?",Physical Oceanography
"volume_transport_Sv: 26.04 Sv,
heat_transport_PW: 0.2664 PW",B,MCQ_86_2,"['volume_transport_Sv: 52.08 Sv,\nheat_transport_PW: 0.5329 PW', 'volume_transport_Sv: 26.04 Sv,\nheat_transport_PW: 0.2664 PW', 'volume_transport_Sv: 6.0 Sv,\nheat_transport_PW: 0.2087 PW', 'volume_transport_Sv: 58.59 Sv,\nheat_transport_PW: 0.5995 PW']","Warm western boundary currents like the South Equatorial Current are crucial to the climate system due to their role in meridional heat transport. The South Equatorial Current measures approximately 70 km in width, extends to a depth of 310 m, and has an average speed of 1.2 m/s.

a. Estimate the volume transport of the South Equatorial Current (in Sv).

b. Estimate the temperature difference (ΔT = 2.5 °C) and the meridional heat transport linked with the South Equatorial Current.",Physical Oceanography
"direction: south ,
Rossby_deformation_radius: 847090.72 m,
time_to_propagate: 42363.04 s",B,MCQ_87_2,"['direction: south ,\nRossby_deformation_radius: 1694181.44 m,\ntime_to_propagate: 84726.08 s', 'direction: south ,\nRossby_deformation_radius: 847090.72 m,\ntime_to_propagate: 42363.04 s', 'direction: north ,\nRossby_deformation_radius: 1416113.29 m,\ntime_to_propagate: 2742.28 s', 'direction: south ,\nRossby_deformation_radius: 2541272.16 m,\ntime_to_propagate: 127089.13 s']","In midlatitude regions, Kelvin waves travel along coastlines.

a. Which direction (north or south) do these waves travel if they move along the Chilean Pacific coast?

b. Compute the Rossby deformation radius for such a wave at 82.6°.

c. Find the time τ required for a Kelvin wave to travel a distance of 5190 km.

Assume a Kelvin wave is moving through a water layer with a thickness of H₀=1530 m.",Physical Oceanography
0.0013 ,D,MCQ_88_2,"['0.004 ', '0.0601 ', '0.0 ', '0.0013 ']","Determine the Ekman number for the Labrador Sea, using typical values, U=1.0 m s^-1, L=443.0 km, and an approximate eddy viscosity A=34000.0 m^2 s^-1.",Physical Oceanography
460.914 s,A,MCQ_89_2,"['460.914 s', '412.985 s', '651.831 s', '1270.19 s']","A submarine that is neutrally buoyant and stationary is submerged at a depth of 416.0 m at a latitude of 41.2°. Upon hearing an unusual noise to the east, the SONAR operator alerts the captain, who chooses to investigate. With an easterly speed of 35.7 m/s, how much time will pass before the submarine reaches the surface if no adjustments are made to the controls?",Physical Oceanography
0.0693 ,C,MCQ_90_2,"['0.256 ', '0.0347 ', '0.0693 ', '109.8541 ']","A vessel is navigating an area where deep water waves have a wavelength of 870.0 meters. Considering the vessel's speed is 6.4 m s⁻¹, determine the ship's speed using the Froude number.",Physical Oceanography
"(a): 20689120000.0 m^3,
(b): 5466065504000.0 gal",A,MCQ_91_2,"['(a): 20689120000.0 m^3,\n(b): 5466065504000.0 gal', '(a): 21907900000.0 m^3,\n(b): 5788067180000.0 gal', '(a): 41378240000.0 m^3,\n(b): 10932131008000.0 gal', '(a): 62067360000.0 m^3,\n(b): 16398196512000.0 gal']","Annually, a precipitation depth of 3.82 meter is recorded over a catchment area measuring 5416 (or $10^{3}$) $\mathrm{km}^{2}$.
(a) Calculate the total volume of water received in an average year in cubic meters.
(b) Convert this volume into gallons.",Hydrology
2976.0 yrs,A,MCQ_92_2,"['2976.0 yrs', '5953.0 yrs', '82180.0 yrs', '0.0 yrs']","The polar ice caps, which cover an area of 15000000.0 km^2, are thought to hold a total equivalent volume of 11000000.0 km^3 of liquid water. With the average yearly precipitation over these ice caps estimated at 9.7 inches, calculate the residence time of water in the polar ice caps, assuming the volume does not change over time.",Hydrology
"(a): 3100000.0 m^3,
(b): 620.0 mm,
(c): 0.225 ",B,MCQ_93_2,"['(a): 4499999200.0 m^3,\n(b): 5.0 mm,\n(c): 0.0 ', '(a): 3100000.0 m^3,\n(b): 620.0 mm,\n(c): 0.225 ', '(a): 9300000.0 m^3,\n(b): 1860.0 mm,\n(c): 0.675 ', '(a): 9500000.0 m^3,\n(b): 950.0 mm,\n(c): 0.2083 ']","In a typical year, a small agricultural catchment with an 5.0 km² area receives 800.0 mm of rainfall. The catchment is drained by a stream with continuous discharge records. The total annual surface-water runoff, as derived from the stream discharge data, amounts to 900000.0 m³.
(a) Compute the annual volume of water lost to evapotranspiration in cubic meters, assuming there is no change in water storage in the catchment.
(b) Find the depth of water lost to evapotranspiration over the year in millimeters, assuming once more no change in water storage within the catchment.
(c) Calculate the runoff ratio (runoff over precipitation) for the catchment.",Hydrology
"(a): 1.261 mm/hr,
1.399 mm/hr,
(b): 2.43 mm/hr,
2.36 mm/hr,
(c): 1.72 mm/hr,
1.65 mm/hr,
(d): 32573823.0 m^3",B,MCQ_94_2,"['(a): 0.485 mm/hr,\n0.743 mm/hr,\n(b): 11.36 mm/hr,\n12.1 mm/hr,\n(c): 4.39 mm/hr,\n3.67 mm/hr,\n(d): 15039967.0 m^3', '(a): 1.261 mm/hr,\n1.399 mm/hr,\n(b): 2.43 mm/hr,\n2.36 mm/hr,\n(c): 1.72 mm/hr,\n1.65 mm/hr,\n(d): 32573823.0 m^3', '(a): 1.453 mm/hr,\n1.605 mm/hr,\n(b): 2.48 mm/hr,\n2.5 mm/hr,\n(c): 1.62 mm/hr,\n2.08 mm/hr,\n(d): 41913623.0 m^3', '(a): 1.891 mm/hr,\n2.099 mm/hr,\n(b): 8.24 mm/hr,\n9.71 mm/hr,\n(c): 3.68 mm/hr,\n2.76 mm/hr,\n(d): 73291101.0 m^3']","Two tipping bucket rain gauges are utilized to record the following rainfall data:

| Time | Cumulative precipitation (mm) at Station#1 | Cumulative precipitation (mm) at Station#2 |
| :--- | :--- | :--- |
| 4:00 a.m. | 0.8 | 1.6 |
| 6:00 a.m. | 1.3316579006065674 | 4.412285698225414 |
| 8:00 a.m. | 6.186044708579836 | 4.743459007977524 |
| 10:00 a.m. | 7.792373787972586 | 8.937172109230932 |
| 12:00 noon | 11.64654021777033 | 9.939063921038516 |
| 2:00 p.m. | 13.366496841060044 | 14.657063903910299 |
| 4:00 p.m. | 17.830297243819338 | 15.210353777773417 |
| 6:00 p.m. | 19.324956228293413 | 18.366214467425113 |
| 8:00 p.m. | 23.641735955883647 | 20.802719709337058 |
| 10:00 p.m. | 25.79252913681978 | 22.102319826799047 |
| 12:00 midnight | 27.162123746526692 | 26.322525098739384 |
| 2:00 a.m. | 28.90266723974812 | 30.96353461999714 |
| 4:00 a.m. | 30.257623535765916 | 33.583825736762975 |

(a) Determine the average daily rainfall intensity for each station (mm/hr).
(b) Determine the peak 2-hour rainfall intensity for each station (mm/hr).
(c) Determine the peak 6-hour rainfall intensity for each station (mm/hr).
(d) Using the arithmetic mean method and given that the drainage basin covers an area of 394 mi², compute the total rainfall volume (m³) that reached the basin during the event.",Hydrology
