answer,id,problem,type
$C_{P}=1049.7 \mathrm{~J} \mathrm{~kg}^{-1} \mathrm{~K}^{-1}$,FPOP_3_6,Determine the specific weight of air when the absolute pressure is 400 kPa and the temperature is $25^{\circ} \mathrm{C}$.,Atmospheric Physics
(a) $a=\frac{\nu^{2}}{r}$; (b) $\mathrm{T}=\frac{1}{d} \sqrt{\frac{m}{\rho g}}$; (c) $v=\sqrt{L g}$; (d) $Q=\frac{L^{+} \mathrm{d} p}{\mu} \mathrm{~d} x$; (e) $F=$ $\mu \nu v ;$ (f) $T=\sqrt{\frac{h}{g}} ;(\mathrm{g}) v=\sqrt{\frac{\sigma}{L r}}$,FPOP_4_1,"Apply the principle of dimensional homogeneity to establish relationships for the following scenarios:
a. The acceleration of an object moving at a constant linear speed $v$ along a circular path with a radius $r$.
b. The oscillation period of a buoyant cylinder with diameter $d$, positioned vertically, given the cylinder's mass $m$ and the liquid's specific weight $\rho g$.
c. The velocity of a gravity wave on water, driven by wind, with a wavelength $L$. (Hint: Include gravitational acceleration, $g$, as a factor.)
d. The flow rate (volume per unit time) of a fluid with viscosity $\mu$ through a tube with radius $R$, uniform circular cross-section, and a longitudinal pressure gradient $G=\mathrm{dp} / \mathrm{dz}$.
e. The drag force acting on a raindrop with radius $r$ falling at speed $v$ through air with dynamic viscosity $\mu$.
f. A U-tube with vertical sides and a uniform cross-section holds water at height $h$ on both sides. If the liquid is depressed on one side and released, determine the relationship between the period of oscillation and other system parameters.
g. The velocity of capillary waves with wavelength $L$ on a liquid surface, considering the liquid's density $\rho$ and surface tension $\sigma$.",Geophysics
(a) $v=\sqrt{\frac{\sigma}{L \rho}}$; (b) $v=\sqrt{L g}$,FPOP_4_2,"Apply the Buckingham Pi theorem to find relationships for the following scenarios:
a. Determine the settling velocity of a particle with radius $r$ and weight $m g$ in a fluid characterized by specific weight $\rho g$ and dynamic viscosity $\mu$.
b. The frequency of oscillation for a pipe ending in a circular orifice (similar to a whistling teapot) is thought to be influenced by these parameters (refer to Anderson, 1953):
$\Delta p=$ pressure difference across the orifice $\quad \mu=\underset{\substack{\text { of viscosit }}}{\text { officient }}$
$\rho$ = density of the gas $\quad L=$ length of the pipe
$w=$ thickness of the orifice $\quad S=$ internal cross-section of the pipe
$d$ = diameter of the orifice
$c=$ speed of sound in the gas
Using $\Delta p, \rho$, and $w$ as the primary variables, apply the Buckingham Pi theorem to derive all $\Pi$ groups and formulate a dimensionless expression for the frequency.",Geophysics
(a) $U=300 \mathrm{~m} \mathrm{~s}^{-1}$; (b) $U=4500 \mathrm{~m} \mathrm{~s}^{-1}$,FPOP_4_3,"Find an expression for the velocity of surface water waves with a wavelength $L$ when:
a. Surface tension plays a significant role.
b. Gravity is a significant factor.",Physical Oceanography
length scale $=6.08$,FPOP_4_4,Calculate the Rossby number for the Gulf Stream by using the typical values provided in example 4.9.,Physical Oceanography
"$p=402,675 \mathrm{~Pa}$ (abs)",FPOP_5_1,A diver is submerged 30 m below the sea surface. Calculate the absolute pressure at this depth.,Physical Oceanography
"$15.3 \mathrm{~m}, 1.13 \mathrm{~m}, 30.6 \mathrm{~m}$",FPOP_5_2,What is the pressure difference at a depth of 1000 m between Lake Geneva (average water density $=1000 \mathrm{~kg} \mathrm{~m}^{-3}$) and the Atlantic Ocean (average water density $=1030 \mathrm{~kg} \mathrm{~m}^{-3}$)?,Hydrology
$\mathrm{p}=104.3 \mathrm{kPa}$ (abs),FPOP_5_3,"Determine the height of a water column needed to achieve a pressure of 150 kPa. Additionally, calculate the height of a mercury column that would generate the same pressure. Furthermore, find the required height of an air column with an average density of $0.5 \mathrm{~kg} \mathrm{~m}^{-3}$ to produce this identical pressure.",Hydrology
$\rho=1020 \mathrm{~kg} \mathrm{~m}^{-3}$,FPOP_5_4,"In the middle of a sea storm, the water surface height increases due to a drop in atmospheric pressure. What height of tide caused by the storm would result from a 100 mm Hg decrease in barometric pressure?",Physical Oceanography
$R=1.029 \mathrm{~m}$,FPOP_5_5,"A rigid closed tank contains water, with the surface pressure being 75 kPa absolute. Determine the absolute pressure at a point 3 m beneath the water's surface.",Hydrology
wt. $=1.92 \times 10^{4} \mathrm{~N}$,FPOP_5_6,"In a television picture tube, the pressure is $1.3 \times 10^{-4} \mathrm{~Pa}$. Given that the display area is a flat rectangle measuring 56 cm in width and 43 cm in height, what is the force exerted on this glass surface because of the pressure difference?",Geophysics
$\lambda_{A D}=0.0058^{\circ} \mathrm{C} \mathrm{m}^{-1}$,FPOP_5_7,What is the density of a liquid if the gauge pressure 2 m beneath its free surface is found to be 20 kPa?,Hydrology
$R=1.30 \times 10^{4} \mathrm{~N}$,FPOP_5_11,"A hydraulic press, as depicted above, needs to generate a force of $10^{6}$ newtons $(F)$. The large piston's area is $5 \mathrm{~m}^{2}$, and the smaller piston's area is $0.1 \mathrm{~m}^{2}$. Calculate the necessary weight $W$ given that the hydraulic fluid has a density of $850 \mathrm{~kg} \mathrm{~m}^{-3}$.",Hydrology
$\frac{\mathrm{D} T}{\mathrm{D} t}=-0.25^{\circ} \mathrm{Ch}^{-1}$,FPOP_6_1,"A pigeon flies at a speed just sufficient to remain on the boundary of a warm front traveling north at $15 \mathrm{~km} \mathrm{~h}^{-1}$. The temperature gradient in the north-south direction for this weather system is $5 \times 10^{-2^{\circ}} \mathrm{C} \mathrm{km}^{-1}$ (with higher temperatures to the south).
a. What is the rate of temperature change experienced by the pigeon if a squirrel eating nuts in a hollow tree observes a temperature rise of $0.5^{\circ} \mathrm{C} \mathrm{h}^{-1}$ as the front passes?
b. Is the pigeon becoming warmer or cooler?",Atmospheric Dynamics
$a=-12.5 \mathrm{~m} \mathrm{~s}^{-1}$ (centripetal),FPOP_6_2,"On a calm day, a ship travels north at a speed of $10 \mathrm{~km} \mathrm{~h}^{-1}$. The atmospheric pressure on the surface rises northward at a rate of $5 \mathrm{~Pa} \mathrm{~km}^{-1}$. Determine the rate of pressure change observed at a nearby island station if the pressure on the ship drops by 100 Pa every 3 hours. (hint: switch to the ship's frame of reference).",Atmospheric Dynamics
$r=2 \cos \theta$,FPOP_6_3,"Demonstrate that using the definition of a streamline, which is a line traced through the fluid always in the direction of the local particle velocity, the equation for streamlines is derived as:

$$
\frac{\mathrm{d} x}{u}=\frac{\mathrm{d} y}{v}=\frac{\mathrm{d} z}{w}
$$

(Hint: Since $\mathbf{q}$ must align with the particle displacement, ds, it follows that $\mathbf{q} \times \mathrm{ds}=0$.)",Atmospheric Dynamics
"(a) $x=4 t^{2}+8 t, y=(t+1)^{2}$; (b) $x=8 \sqrt{x-1}$",FPOP_6_4,"In a fluid that is irrotational, the velocity curl equals zero. Demonstrate that a fluid can be identified as irrotational by proving the following relationships:

$$
\frac{\partial w}{\partial y}=\frac{\partial v}{\partial z}, \quad \frac{\partial u}{\partial z}=\frac{\partial w}{\partial x}, \frac{\partial v}{\partial x}=\frac{\partial u}{\partial y}
$$",Atmospheric Dynamics
(a) $r=C \mathrm{e}^{-2 \theta}$; (b) $r=4.81 \mathrm{e}^{-2 \theta}$,FPOP_6_5,"In the context of steady flow within an incompressible fluid, $\boldsymbol{\nabla} \cdot \mathbf{q}=0$. Demonstrate that for such a steady incompressible flow, the velocity can be expressed in terms of a scalar potential, $\phi$, such that $\mathbf{q}=-\nabla \phi$, where $\phi$ satisfies the Laplace equation:

$$
\nabla^{2} \phi=\frac{\partial^{2} \phi}{\partial x^{2}}+\frac{\partial^{2} \phi}{\partial y^{2}}+\frac{\partial^{2} \phi}{\partial z^{2}}=0
$$",Physical Oceanography
(a) $\frac{a_{C}}{g}=1.4 \times 10^{-3}$; (b) $a_{C}=5.14 \times 10^{-3} \mathrm{~m} \mathrm{~s}^{-2}$,FPOP_6_6,"At the specified points, the velocity components are recorded as follows:

$$
(0,0,1): u=1, \quad v=1, \quad w=0 \mathrm{~m} \mathrm{~s}^{-1}
$$

| $(1,0,1): u=1.2$, | $v=1$, | $w=0 \mathrm{~m} \mathrm{~s}^{-1}$ |
| :--- | :--- | :--- |
| $(0,1,1): u=1.3$, | $v=1$, | $w=0 \mathrm{~m} \mathrm{~s}^{-1}$ |
| $(1,1,1): u=1.5$, | $v=1$, | $w=0 \mathrm{~m} \mathrm{~s}^{-1}$ |

A particle moving from $(0,0,1)$ will reach $(1,1,1)$ after one second, with $u$ increasing by approximately $0.5 \mathrm{~m} \mathrm{~s}^{-1}$ between these points.
a. Determine $a_{x}$ in the region from $(0,0,1)$ to $(1,1,1)$ using the formula $a_{x}=\Delta u / \Delta t$.
b. Find $a_{x}$ at the point $(.5, .5,1)$ by applying equation (6.23).",Atmospheric Dynamics
(a) divergence of velocity is zero; (b) $\rho=$ constant,FPOP_7_1,"a. What assumptions are applicable to the velocity field of an incompressible fluid?
b. If a fluid is described as homogeneous, what does this indicate regarding the properties of the density field?",Physical Oceanography
$w=30 \mathrm{~m} \mathrm{~s}^{-1}$,FPOP_7_2,"At the location $\mathrm{A}(x=0, y=0, z=0)$, the velocity field is given by $u_{A}=0.15 \mathrm{~m} \mathrm{~s}^{-1}, v_{A}=0.1 \mathrm{~m} \mathrm{~s}^{-1}, w_{A}=3 \times 10^{-4} \mathrm{~m} \mathrm{~s}^{-1}$. At location $\mathrm{B}(x=1000, y=100, z=10)$, the velocity field is described by $u_{B}=0.1 \mathrm{~m} \mathrm{~s}^{-1}, v_{A}=0.11 \mathrm{~m} \mathrm{~s}^{-1}, w_{B}=2 \times 10^{-4} \mathrm{~m} \mathrm{~s}^{-1}$. Calculate the divergence of the velocity field in the space between points $A$ and $B$.",Atmospheric Dynamics
(a) $\frac{\mathrm{D} \rho}{\mathrm{D} t}=0$; (b) $u \frac{\partial \rho}{\partial x}=-2.78 \times 10^{-3} \mathrm{~kg} \mathrm{~s}^{-1}$,FPOP_7_3,"Consider an incompressible fluid with velocity components given by:

$$
\begin{aligned}
& u=x+y+z \mathrm{~m} \mathrm{~s}^{-1}, \\
& v=2 x+2 y+2 z \mathrm{~m} \mathrm{~s}^{-1}.
\end{aligned}
$$

Assuming $w=0$ at the origin, determine the vertical velocity at the point $x=10 \mathrm{~m}$, $y=10 \mathrm{~m}$, and $z=-10 \mathrm{~m}$.",Physical Oceanography
$w^{*}=-2 \mathrm{kz}+C$,FPOP_7_4,"At location A in a river, the downstream velocity is recorded as 1.5 m $\mathrm{s}^{-1}$. At location B, which is one kilometer upstream, the downstream velocity is observed to be $1 \mathrm{~m} \mathrm{~s}^{-1}$. Given that the cross-stream velocity component is negligible, determine the vertical velocity at a depth of 10 meters. Assume the vertical velocity is zero at the surface ( $z=0$ ) and that the fluid is incompressible.",Hydrology
$u=1500 \mathrm{~m} \mathrm{~s}^{-1}$,FPOP_7_5,"At a specific location, the density of an incompressible fluid in motion is recorded at 8 A.M. and again at 9 A.M. At 8 A.M., the density is $980 \mathrm{~kg} \mathrm{~m}^{-3}$, and at 9 A.M. it measures $990 \mathrm{~kg} \mathrm{~m}^{-3}$.
a. Calculate the total derivative of the fluid's density $\left(\mathrm{kg} \mathrm{m}^{-3} \mathrm{~s}^{-1}\right)$ over this time period.
b. Determine the advective change in density from 8 A.M. to 9 A.M.",Physical Oceanography
$p=2562 \mathrm{~Pa}$,FPOP_8_6,"A small leak forms on the top side of a large horizontal pipe that is entirely filled with water. With the gage pressure in the pipe being 300 kPa, to what height will the water jet from the leak ascend above the pipe?",Hydrology
"$\frac{\partial p}{\partial x}=1.56 \times 10^{-3} \mathrm{~Pa} \mathrm{~m}^{-1}, \frac{\partial p}{\partial y}=-1.56 \times 10^{-3} \mathrm{~Pa} \mathrm{~m}^{-1}$",FPOP_8_15,"At a latitude of $38^{\circ} \mathrm{N}$, the wind blows from the SE at $30 \mathrm{~m} \mathrm{~s}^{-1}$. Assuming the flow is geostrophic, determine the two components of the horizontal pressure gradient at an altitude where the air density is 0.8194 kg $\mathrm{m}^{-3}$.",Atmospheric Dynamics
(a) $Q=\frac{1}{2} \mathrm{~V}_{0} \pi a^{2}$; (b) $\alpha=2.0$,FPOP_9_1,"Consider a fully developed laminar flow that moves parallel to the axis of a circular pipe, characterized by a velocity profile given by

$$
w=V_{0}\left(1-\frac{r^{2}}{a^{2}}\right)
$$

where $a$ represents the pipe's radius and $V_{0}$ denotes the velocity at the pipe's center. Derive an expression for the flow discharge through the pipe and also determine the energy correction factor, $\alpha$ (refer to equation (9.9)).",Hydrology
(a) $H_{1}=3.947 \mathrm{~m}$; (b) $V_{1}=3.04 \mathrm{~m} \mathrm{~s}^{-1}$,FPOP_9_2,A nozzle with a diameter of 2 cm is attached to a hose that has a diameter of 4 cm. Determine both the velocity of the water as it leaves the nozzle and the discharge rate. The pressure within the hose is 150 kPa higher than the atmospheric pressure.,Hydrology
$\frac{\mathrm{d} W}{\mathrm{~d} m}=1.25 \times 10^{4} \mathrm{~J} \mathrm{~kg}^{-1}$,FPOP_9_4,"A hose with a diameter of 4 cm supplies water into two smaller hoses, each having a 2 cm diameter, via a $Y$ coupling, where all three branches are positioned at the same elevation. Given that the velocity within the 4 cm hose is $1 \mathrm{~m} \mathrm{~s}^{-1}$ and the pressure measures $2 \times 10^{5} \mathrm{~Pa}$, determine the velocity and pressure in each of the smaller hoses. (Assume perfect symmetry in the conditions of the smaller hoses.)",Hydrology
"(a) $\xi=-60, \eta=9, \zeta=20 \mathrm{~s}^{-1} ; \omega_{x}=-30, \omega_{y}=4.5, \omega_{z}=10 \mathrm{~s}^{-1}$",FPOP_10_3,"Calculate the vorticity and mean angular velocity for the given flow fields at the specified points:
a. $\mathbf{q}=\left(3 x^{2}-x y\right) \mathbf{i}+\left(y^{2}+6 x y+2 y z^{2}\right) \mathbf{j}-\left(z^{2}+x y^{2}\right) \mathbf{k}$ at $x=2, y=3, z=4$.
b. $\quad \mathbf{q}=A r \hat{\mathbf{e}}_{\mathrm{r}}+A \theta \hat{\mathbf{e}}_{0}+A z \hat{\mathbf{e}}_{\mathrm{z}}$
at $r=2, \theta=\pi / 4, z=3$.",Atmospheric Dynamics
(a) $v=7.5 \mathrm{~m} \mathrm{~s}^{-1}$; (b) $v=4.90 \mathrm{~m} \mathrm{~s}^{-1}$; (c) $\Gamma=2 \pi \mathrm{r}_{0}{ }^{2} \omega=46.2$ $\mathrm{m}^{2} \mathrm{~s}^{-1}$; (d) $\Delta p=4.13 \times 10^{+} \mathrm{Pa}$,FPOP_10_5,"A free vortex features a rotational core extending to a radius of 0.7 m. Inside this core (where $r<0.7$), the fluid exhibits rigid body rotation, whereas outside the core (where $r>0.7$), the flow is irrotational. Given that the angular velocity within the core is 15 radians per second,

a. Determine the tangential velocity at a point 0.5 m from the center within the core.
b. Calculate the tangential velocity at a point 1.5 m from the center outside the core.
c. Assuming velocity continuity at $r=0.7 \mathrm{~m}$, derive the relationship between the angular velocity and the circulation at $r=0.7 \mathrm{~m}$.
d. Given a density of $1000 \mathrm{~kg} \mathrm{~m}^{-3}$, apply Bernoulli’s equation to find the pressure difference between two points at the same elevation, located at $r=0.7 \mathrm{~m}$ and $r=1.4 \mathrm{~m}$.",Physical Oceanography
(a) $\Gamma=-75 \pi \mathrm{~m}^{2} \mathrm{~s}^{-1}$; (b) $\mathrm{v}=-4.5 \mathrm{~ms}^{-1}$; (c) $C W$,FPOP_10_7,"A circular region with a radius of 5 m exhibits a vorticity of $3 \mathrm{~s}^{-1}$ that is oriented antiparallel to the area vector, meaning it points downward.  
a. Determine the total circulation around this circle.  
b. Calculate the tangential velocity of the fluid at a 3 m distance from the center of rotation.  
c. What is the direction of the fluid's rotation?",Atmospheric Dynamics
$\Gamma=14 \pi \mathrm{~m}^{2} \mathrm{~s}^{-1}$,FPOP_10_9,"Calculate the circulation around the closed circular path defined by $x^{2}+y^{2} = 1$ given that

$$
\mathbf{q} = -6 y \mathbf{i} + 8 x \mathbf{j}
$$",Atmospheric Dynamics
"$|\phi|=L^{2} t^{1},|A|=t^{1}$",FPOP_11_1,"Consider a flow field characterized by a velocity potential $\phi=A x y$, where $A=0.5$.
a. Plot the curves for $\phi=1.0$ and $\phi=2.0$ in the area confined by $x=0.5$ and $x=5.0$.
b. Based on these curves, sketch a set of streamlines, marking the direction of the flow.
c. Determine the dimensions of $\phi$ and $A$.",Atmospheric Dynamics
$\phi: r \mathrm{e}^{-\Gamma \theta / Q}=$ constant; $\quad \psi: r \mathrm{e}^{Q \theta / \Gamma}=$ constant,FPOP_11_2,Determine the velocity potential for a uniform flow traveling at an angle $\alpha$ relative to the $x$-axis and at an angle $\beta$ with respect to the $x-y$ plane.,Physical Oceanography
$\Delta p=\frac{\rho k^{2}}{2}\left[\left(x_{2}^{2}-x_{1}{ }^{2}\right)+\left(y_{2}^{2}-y_{1}^{2}\right)\right.$,FPOP_11_3,Determine the velocity potential and velocity components for a whirlpool draining into a line sink. Demonstrate that the streamlines and lines of constant potential create an orthogonal set of spirals (snailshell).,Physical Oceanography
$u^{*}=8.84 \mathrm{~m} \mathrm{~s}^{-1} ; v^{*}=8.84 \mathrm{~m} \mathrm{~s}^{-1}$,FPOP_11_4,"Consider a fluid situated between concentric cylinders that rotates in an irrotational flow manner. Find the velocity potential of this flow, expressed in terms of the circulation, $\Gamma$.",Geophysics
(a) $\phi=-A r \theta-A z \theta+C$; (b) $\phi=-2 A \mid x y+y+x]+C$,FPOP_11_5,"Consider a flow with a velocity potential given by:

$$
\phi = -k x y
$$

Find an expression for the pressure difference between the points ( $x_{1}$, $y_{1}$ ) and ( $x_{2}, y_{2}$ ), assuming the upward direction is along the $z$ axis.",Atmospheric Dynamics
$r=2 \cos \phi$,FPOP_11_6,"Given the velocity potential $\phi = y + 4xy$ for a fluid flow, where the positive $y$ direction is upward, determine the pressure difference between point-1 ($x=1 \mathrm{~m}, y=1 \mathrm{~m}$) and point-2 ($x=2 \mathrm{~m}, y=2 \mathrm{~m}$). Consider the fluid to be air with a density of $1.25 \mathrm{~kg} \mathrm{~m}^{-3}$.",Atmospheric Dynamics
$\psi=3 x^{2} y-y^{3}+C$,FPOP_11_7,"For a specific flow, the velocity potential is given by $\phi=k \cos \theta / \mathrm{r}$. With $k$ equal to $0.5 \mathrm{~m}^{3} \mathrm{~s}^{-1}$, determine the radial and circumferential velocity components at the coordinates $r=0.2 \mathrm{~m}, \theta=45^{\circ}$.",Physical Oceanography
$y=2 \ln x$,FPOP_11_8,"A fluid velocity field described by the potential $\phi_{1}=x^{2} \mathrm{~m}^{2} \mathrm{~s}^{-1}$ is combined with another velocity field having the potential $\phi_{2}=y^{2} \mathrm{~m}^{2} \mathrm{~s}^{-1} \mathrm{i}$. Determine the $x$ and $y$ components of the velocity at the coordinates $x=3 \mathrm{~m}$, $y=5 \mathrm{~m}$.",Physical Oceanography
(a) $\psi=-\frac{5}{x y}+C$; (b) $x y=2$,FPOP_11_9,"Find the velocity potential for a flow field characterized by the following conditions:
a. $u^{*}=A \theta, v^{*}=A(1+z / r), w^{*}=A \theta$
b. $u=A(y+z), v=A(x+z), w=A(x+y)$",Geophysics
"$r=2 \exp \left(\frac{\theta}{2}-\frac{\pi}{4}\right), r^{2} z=12$",FPOP_11_10,"A point source represents a flow originating at a specific point where fluid is assumed to be produced and distributed uniformly in all directions.
a. Given that the volume per unit time released from an incompressible point source is $Q$, derive the radial velocity component, $u^{*}=-\partial \phi / \partial r$, and the transverse component, $v^{*}=-\frac{1}{r} \frac{\partial \phi}{\partial \theta}$, in terms of $Q$.
b. Demonstrate that the velocity potential for a point source can be represented by

$$
\phi=\frac{Q}{4 \pi r}
$$

c. Prove that the velocity potential of a doublet, which consists of a point source and a point sink, i.e., a three-dimensional doublet, exhibits the far field form

$$
\phi=\frac{2 k a \cos \theta}{r^{2}}
$$

where $2 a$ is the separation between the source and the sink, and $k=Q^{*} / 4 \pi$. (Hint: Adapt the approach for the two-dimensional doublet by demonstrating that $\Delta r=2 a \cos \theta$ as $a$ approaches zero.)",Geophysics
$w=\frac{\ln \tau}{2 \pi}|\mathrm{Q}+\mathbf{i} \Gamma|$,FPOP_11_11,"Referencing the findings from Exercise 10, demonstrate that the velocity potential surrounding a sphere with radius $R$ situated in a uniform flow at speed $U$ is expressed as:

$$
\phi=U \cos \theta\left[r+\frac{R^{3}}{2 r^{2}}\right]
$$",Geophysics
(a) $v=2 \mathrm{~m} \mathrm{~s}^{-1}$; (b) $\Delta p=-12.6 \mathrm{kPa}$; (c) $\Delta E=32 \mathrm{~J} \mathrm{~kg}^{-1}$,FPOP_12_1,"In a pipe with a sudden expansion carrying oil with a specific gravity of 0.8, the cross-sectional area increases from $0.1 \mathrm{~m}^{2}$ to $0.5 \mathrm{~m}^{2}$. Given that the mean velocity over the cross-section before the expansion is $10 \mathrm{~m} \mathrm{~s}^{-1}$,

a. Determine the mean velocity after the expansion.
b. Calculate the change in pressure during the expansion.
c. Determine the amount of mechanical energy converted to heat (energy per unit mass) during the expansion.

Assume that the velocity is uniformly distributed across the pipe, both before and after the expansion.",Hydrology
"$F_{x}=391 \mathrm{~N}, F_{y}=43.3 \mathrm{~N}$",FPOP_12_2,"A water stream with an average speed of $10 \mathrm{~m} \mathrm{~s}^{-1}$ and a cross-sectional area of $4 \times 10^{-4} \mathrm{~m}^{2}$ flows in the $+x$ direction. This stream enters a pipe Tee, where it is divided into two identical streams, each possessing a velocity of $10 \mathrm{~m} \mathrm{~s}^{-1}$ and a cross-sectional area of $2 \times 10^{4}$ $\mathrm{m}^{2}$. Calculate the $x$ component of the force necessary to keep the pipe Tee stationary.",Hydrology
"$F=2.12 \times 10^{+} \mathrm{N}, \quad \theta=135^{\circ}$",FPOP_12_3,"A reducing corner fitting in a jet fuel pipeline is constructed to handle fluid entering at a gage pressure of $10,366 \mathrm{~Pa}$ from a horizontal pipe with an inside diameter of 7 cm, redirect the flow downward by $50^{\circ}$, and decrease the exit diameter to 3 cm. Given that the discharge rate is 4 liters per second and the specific gravity of the fuel is 0.67, what is the reaction force acting on the fitting?",Hydrology
(a) $v=8.13 \mathrm{~m} \mathrm{~s}^{-1}$; (b) $y_{2}=5.04 \mathrm{~m}$ above bottom or 2.03 m above upstream surface,FPOP_12_4,"Water flows in an open channel with a depth of 1.5 m, undergoing a hydraulic jump. Determine the minimum velocity required for this jump to take place.",Hydrology
(a) $V_{2}=107 \mathrm{~m} \mathrm{~s}^{-1}$; (b) $\eta=-86 \%$; (c) $P=26.5 \mathrm{~kW}$,FPOP_12_5,A horizontal water jet with a flow rate of $1.5 \mathrm{~m}^{3} \mathrm{~s}^{-1}$ and a velocity of $10 \mathrm{~m} \mathrm{~s}^{-1}$ is aimed at a curved deflecting surface such that the jet is redirected by 90 degrees without any splashing or change in speed. Determine the magnitude and direction of the force required to keep the deflecting surface stationary.,Hydrology
"$V=7.50 \mathrm{~m} \mathrm{~s}^{-1}, u_{2}=4.07 \mathrm{~m} \mathrm{~s}^{-1}$",FPOP_12_6,Water moving at $5 \mathrm{~m} \mathrm{~s}^{-1}$ in a channel with a depth of 1.5 m undergoes a hydraulic jump. Determine the increase in water depth resulting from this jump.,Hydrology
(a) $\Delta p=1.5 \times 10^{5} \mathrm{~Pa}$; (b) $\Delta p=-1.5 \times 10^{5} \mathrm{~Pa}$,FPOP_13_1,"A stream of water flows at a velocity of $10 \mathrm{~m} \mathrm{~s}^{-1}$. If the velocity is increased to twice its original value by reducing the cross-sectional area of the stream, determine the change in:
a. the dynamic pressure,
b. the static pressure, upon entering this high-speed region.",Hydrology
"$p=1.11 \times 10^{5} \mathrm{~Pa}$ at $0^{\circ}, 180^{\circ} ; p=5.57 \times 10^{4} \mathrm{~Pa}$ at $90^{\circ} ; p=$ $6.55 \times 10^{4} \mathrm{~Pa}$ at $270^{\circ}$",FPOP_13_4,"Consider a long cylinder with a diameter of 7.5 cm, which travels perpendicular to its axis at a velocity of $30 \mathrm{~m} \mathrm{~s}^{-1}$ in air. Determine the circulation around the cylinder that is necessary to generate a lift force equivalent to its weight per unit length of 5 newtons per meter.",Atmospheric Dynamics
